observ,profile1,profile2,profile3,profile4,profile5,profile6,profile7,profile8,profile9,profile10,profile11,profile12,profile13,profile14,profile15,profile16,profile17,profile18,profile19,profile20,profile21,profile22,profile23,profile24,profile25
315,-3350,-4600,-4550,-3200,-6750,-2950,-5450,-6250,-3700,-4050,-4100,-4900,-4100,-3400,-2500,-4500,-4300,-2000,-7200,-2250,-7250,-3600,-4400,-3350,-4750
316,-3350,-4600,-4600,-3200,-6750,-3000,-5450,-6300,-3700,-4050,-4450,-4450,-4100,-3400,-2500,-4500,-4250,-2050,-7200,-2300,-7250,-3650,-4400,-3400,-4750
317,-3350,-4600,-4600,-3250,-6750,-3000,-5050,-6300,-3850,-4050,-4450,-4450,-4150,-3400,-2500,-4300,-4250,-2050,-8050,-2300,-7200,-3650,-4350,-3400,-4750
318,-3400,-4350,-4600,-3250,-6950,-3000,-5050,-6350,-3850,-4050,-4050,-4500,-4150,-3400,-2500,-4300,-4000,-1650,-8050,-2350,-7200,-2200,-4350,-3400,-4800
319,-3400,-4350,-4600,-3250,-6950,-3000,-5050,-6350,-3850,-4050,-4050,-4500,-4400,-3450,-2900,-4250,-4000,-1650,-8200,-2350,-8050,-2200,-4300,-3400,-4800
320,-3400,-4350,-4600,-3250,-6700,-3050,-5100,-6400,-3850,-4050,-4050,-4650,-4400,-3450,-2900,-4250,-4050,-1700,-8200,-2400,-8050,-2150,-4300,-3450,-4800
321,-3400,-4350,-4600,-2850,-6700,-3050,-5100,-6400,-3900,-4000,-4050,-4650,-4350,-3450,-2550,-4000,-4050,-1700,-8100,-2400,-8200,-2150,-4250,-3450,-4800
322,-3400,-4350,-4350,-2850,-6700,-3050,-5100,-6450,-3900,-4000,-4250,-4600,-4350,-3450,-2550,-4000,-4100,-1750,-8100,-1900,-8200,-2100,-4250,-3450,-4850
323,-3400,-4350,-4350,-2850,-6700,-3050,-5100,-6450,-3900,-4200,-4250,-4600,-4550,-3500,-2550,-4050,-4100,-1750,-8150,-1900,-8100,-2100,-4200,-3450,-4850
324,-3450,-4400,-4350,-2850,-6900,-3100,-5100,-4800,-3900,-4200,-4300,-4550,-4550,-3500,-2550,-4050,-4150,-1800,-8150,-3100,-8100,-2400,-4200,-3500,-4850
325,-3450,-4400,-4350,-2900,-6900,-3100,-5150,-4800,-3900,-4200,-4300,-4550,-4300,-3500,-2600,-4100,-4150,-1800,-7500,-3100,-8150,-2400,-4150,-3500,-4850
326,-3450,-4400,-4350,-2900,-7250,-3100,-5150,-4650,-3900,-4200,-4200,-4850,-4300,-3500,-2600,-4100,-4200,-1850,-7500,-3150,-8150,-2350,-4150,-3500,-4850
327,-3450,-4400,-4350,-2900,-7250,-3100,-5150,-4650,-6550,-4250,-4200,-4850,-4600,-3550,-2600,-4150,-4200,-1850,-7450,-3150,-7500,-2350,-4500,-3500,-4850
328,-3450,-4400,-4400,-2900,-7150,-3150,-5150,-4700,-6550,-4250,-4350,-4800,-4600,-3550,-2600,-4150,-3650,-1900,-7450,-3050,-7500,-2300,-4500,-3550,-4900
329,-3450,-4400,-4400,-3100,-7150,-3150,-5150,-4700,-6500,-4300,-4350,-4800,-4250,-3550,-2650,-4200,-3650,-1900,-7400,-3050,-7450,-2300,-4450,-3550,-4900
330,-3500,-4450,-4400,-3100,-7300,-3150,-5150,-4750,-6500,-4300,-4750,-4750,-4250,-3550,-2650,-4200,-3650,-1950,-7400,-3150,-7450,-2250,-4450,-3550,-4900
331,-3500,-4450,-4400,-3300,-7300,-3150,-5150,-4750,-6450,-4350,-4750,-4750,-4200,-3550,-2700,-3650,-3650,-1950,-7350,-3150,-7400,-2250,-3700,-3550,-4900
332,-3500,-4450,-4400,-3300,-7350,-3200,-5200,-4550,-6450,-4350,-4600,-4700,-4200,-3550,-2700,-3650,-3650,-1500,-7350,-3100,-7400,-2550,-3700,-3600,-4900
333,-3500,-4450,-4400,-3150,-7350,-3200,-5200,-4550,-6400,-4150,-4600,-4700,-4900,-3550,-2750,-3700,-3650,-1500,-7950,-3100,-7350,-2550,-3700,-3600,-4900
334,-3500,-4450,-4450,-3150,-7100,-3200,-5200,-4600,-6400,-4150,-4650,-4650,-4900,-3550,-2750,-3700,-3650,-1550,-7950,-3050,-7350,-2500,-3700,-3600,-4900
335,-3500,-4450,-4450,-3250,-7100,-3200,-5200,-4600,-6350,-4150,-4650,-4650,-4450,-3600,-2150,-3750,-3650,-1550,-8000,-3050,-7950,-2500,-3700,-3600,-4900
336,-3500,-4450,-4450,-3250,-7400,-3250,-5200,-3500,-6350,-4150,-4700,-4600,-4450,-3600,-2150,-3750,-3700,-1600,-8000,-2900,-7950,-2450,-3700,-3050,-4950
337,-3500,-4450,-4450,-3200,-7400,-3250,-5200,-3450,-6300,-4150,-4700,-4600,-4500,-3600,-2200,-3800,-3700,-1600,-7700,-2900,-8000,-2450,-3750,-3050,-4950
338,-3550,-4450,-4450,-3200,-7450,-3250,-5200,-3400,-6300,-4150,-3800,-4550,-4500,-3600,-2200,-3800,-3700,-4250,-7700,-2950,-8000,-2350,-3750,-3100,-4950
339,-3550,-4450,-4450,-2750,-7450,-3250,-5250,-3350,-6650,-4400,-3800,-4550,-5750,-3600,-2250,-3850,-3700,-4250,-7850,-2950,-7700,-2350,-3750,-3100,-4950
340,-3550,-4500,-4500,-2750,-7600,-2850,-5250,-3350,-6650,-4400,-3900,-4500,-5750,-3600,-2250,-3850,-3750,-3600,-7850,-3000,-7700,-2300,-3750,-3150,-4950
